YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	137	1.011	-0.00	235.90	-2.45	289.92	160.30
1998	138	1.011	-0.00	236.86	-2.34	276.69	161.26
1998	139	1.012	-0.00	237.82	-2.22	263.46	162.21
1998	140	1.012	-0.00	238.79	-2.11	250.23	163.17
1998	141	1.012	-0.00	239.75	-1.99	237.00	164.13
1998	142	1.012	-0.00	240.71	-1.87	223.77	165.08
1998	143	1.012	-0.00	241.67	-1.76	210.54	166.04
1998	144	1.013	-0.00	242.63	-1.64	197.30	166.99
1998	145	1.013	-0.00	243.60	-1.52	184.07	167.94
1998	146	1.013	-0.00	244.56	-1.40	170.84	168.90
1998	147	1.013	-0.00	245.52	-1.28	157.60	169.85
1998	148	1.013	-0.00	246.48	-1.16	144.37	170.80
1998	149	1.014	-0.00	247.44	-1.04	131.13	171.76
1998	150	1.014	-0.00	248.39	-0.92	117.96	172.71
1998	151	1.014	-0.00	249.35	-0.80	104.72	173.66
1998	152	1.014	-0.00	250.31	-0.68	91.48	174.61
1998	153	1.014	-0.00	251.27	-0.56	78.25	175.56
1998	154	1.014	-0.00	252.23	-0.44	65.01	176.51
1998	155	1.014	-0.00	253.19	-0.32	51.77	177.46
1998	156	1.015	-0.00	254.14	-0.20	38.54	178.41
1998	157	1.015	-0.00	255.10	-0.08	25.30	179.36
1998	158	1.015	-0.00	256.06	0.04	12.06	180.31
1998	159	1.015	-0.00	257.02	0.16	358.82	181.26
1998	160	1.015	-0.00	257.97	0.28	345.58	182.21
1998	161	1.015	-0.00	258.93	0.40	332.34	183.16
1998	162	1.015	-0.00	259.88	0.52	319.10	184.10
1998	163	1.015	-0.00	260.84	0.64	305.87	185.05
1998	164	1.016	-0.00	261.80	0.76	292.63	186.00
1998	165	1.016	-0.00	262.75	0.88	279.39	186.95
1998	166	1.016	-0.00	263.71	1.00	266.15	187.90
1998	167	1.016	-0.00	264.66	1.12	252.91	188.84
1998	168	1.016	-0.00	265.62	1.24	239.67	189.79
1998	169	1.016	-0.00	266.57	1.36	226.43	190.74
1998	170	1.016	-0.00	267.53	1.47	213.25	191.69
1998	171	1.016	-0.00	268.48	1.59	200.01	192.63
1998	172	1.016	-0.00	269.43	1.71	186.77	193.58
1998	173	1.016	-0.00	270.39	1.83	173.53	194.53
1998	174	1.016	-0.00	271.34	1.94	160.29	195.48
1998	175	1.016	-0.00	272.30	2.06	147.05	196.42
1998	176	1.016	-0.00	273.25	2.17	133.81	197.37
1998	177	1.017	-0.00	274.20	2.29	120.57	198.32
1998	178	1.017	-0.00	275.16	2.40	107.33	199.27
1998	179	1.017	-0.00	276.11	2.51	94.09	200.21
1998	180	1.017	-0.00	277.07	2.63	80.85	201.16
1998	181	1.017	-0.00	278.02	2.74	67.61	202.11
1998	182	1.017	-0.00	278.97	2.85	54.37	203.06
1998	183	1.017	-0.00	279.93	2.96	41.13	204.01
1998	184	1.017	-0.00	280.88	3.07	27.89	204.96
1998	185	1.017	-0.00	281.83	3.18	14.65	205.90
1998	186	1.017	-0.00	282.79	3.28	1.42	206.85
1998	187	1.017	-0.00	283.74	3.39	348.18	207.80
1998	188	1.017	-0.00	284.69	3.50	334.94	208.75
1998	189	1.017	-0.00	285.65	3.60	321.70	209.70
1998	190	1.017	-0.00	286.60	3.70	308.52	210.65
1998	191	1.017	-0.00	287.55	3.81	295.29	211.60
1998	192	1.017	-0.00	288.51	3.91	282.05	212.55
1998	193	1.017	-0.00	289.46	4.01	268.81	213.50
1998	194	1.017	-0.00	290.41	4.11	255.58	214.45
1998	195	1.017	-0.00	291.37	4.21	242.34	215.40
1998	196	1.016	-0.00	292.32	4.31	229.10	216.35
1998	197	1.016	-0.00	293.28	4.40	215.87	217.31
