YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	174	19.847	-0.64	310.46	5.26	199.35	234.54
1998	175	19.847	-0.64	310.47	5.26	185.18	234.55
1998	176	19.847	-0.64	310.48	5.26	171.00	234.56
1998	177	19.847	-0.64	310.49	5.27	156.82	234.57
1998	178	19.847	-0.64	310.50	5.27	142.65	234.58
1998	179	19.847	-0.64	310.51	5.27	128.47	234.60
1998	180	19.847	-0.64	310.52	5.27	114.29	234.61
1998	181	19.848	-0.64	310.53	5.27	100.12	234.62
1998	182	19.848	-0.64	310.55	5.27	85.94	234.63
1998	183	19.848	-0.64	310.56	5.27	71.76	234.64
1998	184	19.848	-0.64	310.57	5.27	57.59	234.65
1998	185	19.848	-0.64	310.58	5.27	43.41	234.66
1998	186	19.848	-0.64	310.59	5.27	29.23	234.67
1998	187	19.848	-0.64	310.60	5.27	15.06	234.68
1998	188	19.848	-0.64	310.61	5.27	0.88	234.69
1998	189	19.848	-0.64	310.62	5.27	346.71	234.71
1998	190	19.849	-0.64	310.63	5.27	332.59	234.72
1998	191	19.849	-0.64	310.64	5.28	318.41	234.73
1998	192	19.849	-0.64	310.66	5.28	304.24	234.74
1998	193	19.849	-0.64	310.67	5.28	290.06	234.75
1998	194	19.849	-0.64	310.68	5.28	275.89	234.76
1998	195	19.849	-0.64	310.69	5.28	261.71	234.77
1998	196	19.849	-0.64	310.70	5.28	247.53	234.78
1998	197	19.849	-0.64	310.71	5.28	233.36	234.79
1998	198	19.850	-0.64	310.72	5.28	219.18	234.80
1998	199	19.850	-0.64	310.73	5.28	205.00	234.82
1998	200	19.850	-0.64	310.74	5.28	190.83	234.83
1998	201	19.850	-0.64	310.75	5.28	176.65	234.84
1998	202	19.850	-0.64	310.77	5.28	162.47	234.85
1998	203	19.850	-0.64	310.78	5.28	148.30	234.86
1998	204	19.850	-0.64	310.79	5.28	134.12	234.87
1998	205	19.850	-0.64	310.80	5.29	119.94	234.88
1998	206	19.850	-0.64	310.81	5.29	105.77	234.89
1998	207	19.851	-0.64	310.82	5.29	91.59	234.90
1998	208	19.851	-0.64	310.83	5.29	77.41	234.91
1998	209	19.851	-0.64	310.84	5.29	63.24	234.93
1998	210	19.851	-0.64	310.85	5.29	49.06	234.94
1998	211	19.851	-0.64	310.86	5.29	34.95	234.95
1998	212	19.851	-0.64	310.88	5.29	20.77	234.96
1998	213	19.851	-0.64	310.89	5.29	6.59	234.97
1998	214	19.851	-0.64	310.90	5.29	352.42	234.98
1998	215	19.851	-0.65	310.91	5.29	338.24	234.99
1998	216	19.852	-0.65	310.92	5.29	324.06	235.00
1998	217	19.852	-0.65	310.93	5.29	309.89	235.01
1998	218	19.852	-0.65	310.94	5.29	295.71	235.02
1998	219	19.852	-0.65	310.95	5.30	281.54	235.04
1998	220	19.852	-0.65	310.96	5.30	267.36	235.05
1998	221	19.852	-0.65	310.98	5.30	253.18	235.06
1998	222	19.852	-0.65	310.99	5.30	239.01	235.07
1998	223	19.852	-0.65	311.00	5.30	224.83	235.08
1998	224	19.852	-0.65	311.01	5.30	210.65	235.09
1998	225	19.853	-0.65	311.02	5.30	196.48	235.10
1998	226	19.853	-0.65	311.03	5.30	182.30	235.11
1998	227	19.853	-0.65	311.04	5.30	168.12	235.12
1998	228	19.853	-0.65	311.05	5.30	153.95	235.13
1998	229	19.853	-0.65	311.06	5.30	139.77	235.15
1998	230	19.853	-0.65	311.07	5.30	125.59	235.16
1998	231	19.853	-0.65	311.09	5.30	111.48	235.17
1998	232	19.853	-0.65	311.10	5.30	97.30	235.18
1998	233	19.854	-0.65	311.11	5.31	83.13	235.19
1998	234	19.854	-0.65	311.12	5.31	68.95	235.20
1998	235	19.854	-0.65	311.13	5.31	54.77	235.21
1998	236	19.854	-0.65	311.14	5.31	40.60	235.22
1998	237	19.854	-0.65	311.15	5.31	26.42	235.23
1998	238	19.854	-0.65	311.16	5.31	12.24	235.24
1998	239	19.854	-0.65	311.17	5.31	358.07	235.26
1998	240	19.854	-0.65	311.18	5.31	343.89	235.27
1998	241	19.854	-0.65	311.20	5.31	329.71	235.28
1998	242	19.855	-0.65	311.21	5.31	315.54	235.29
1998	243	19.855	-0.65	311.22	5.31	301.36	235.30
1998	244	19.855	-0.65	311.23	5.31	287.19	235.31
1998	245	19.855	-0.65	311.24	5.31	273.01	235.32
1998	246	19.855	-0.65	311.25	5.31	258.83	235.33
1998	247	19.855	-0.65	311.26	5.32	244.66	235.34
1998	248	19.855	-0.65	311.27	5.32	230.48	235.35
1998	249	19.855	-0.65	311.28	5.32	216.30	235.37
1998	250	19.855	-0.65	311.29	5.32	202.13	235.38
1998	251	19.856	-0.65	311.31	5.32	188.01	235.39
1998	252	19.856	-0.65	311.32	5.32	173.84	235.40
1998	253	19.856	-0.65	311.33	5.32	159.66	235.41
1998	254	19.856	-0.65	311.34	5.32	145.48	235.42
1998	255	19.856	-0.65	311.35	5.32	131.31	235.43
1998	256	19.856	-0.65	311.36	5.32	117.13	235.44
1998	257	19.856	-0.65	311.37	5.32	102.95	235.45
1998	258	19.856	-0.65	311.38	5.32	88.78	235.46
1998	259	19.856	-0.65	311.39	5.32	74.60	235.48
