YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	165	1.518	0.62	69.32	1.43	86.14	353.71
1998	166	1.520	0.64	69.85	1.38	72.48	354.23
1998	167	1.521	0.65	70.37	1.33	58.81	354.75
1998	168	1.522	0.67	70.90	1.28	45.15	355.27
1998	169	1.524	0.69	71.42	1.23	31.48	355.79
1998	170	1.525	0.70	71.94	1.18	17.87	356.31
1998	171	1.526	0.72	72.46	1.13	4.20	356.83
1998	172	1.528	0.73	72.98	1.08	350.53	357.35
1998	173	1.529	0.75	73.50	1.03	336.86	357.86
1998	174	1.530	0.76	74.01	0.98	323.19	358.38
1998	175	1.531	0.78	74.53	0.93	309.52	358.89
1998	176	1.533	0.79	75.05	0.88	295.84	359.40
1998	177	1.534	0.81	75.56	0.83	282.17	359.92
1998	178	1.535	0.82	76.07	0.78	268.49	0.43
1998	179	1.537	0.84	76.59	0.73	254.81	0.94
1998	180	1.538	0.85	77.10	0.68	241.14	1.45
1998	181	1.539	0.87	77.61	0.63	227.46	1.96
1998	182	1.540	0.88	78.12	0.58	213.78	2.47
1998	183	1.542	0.90	78.63	0.53	200.10	2.97
1998	184	1.543	0.91	79.14	0.48	186.42	3.48
1998	185	1.544	0.93	79.65	0.43	172.74	3.99
1998	186	1.546	0.94	80.16	0.38	159.05	4.49
1998	187	1.547	0.95	80.66	0.33	145.37	5.00
1998	188	1.548	0.97	81.17	0.28	131.69	5.50
1998	189	1.549	0.98	81.67	0.23	118.00	6.00
1998	190	1.551	1.00	82.18	0.18	104.38	6.50
1998	191	1.552	1.01	82.68	0.13	90.69	7.00
1998	192	1.553	1.02	83.18	0.08	77.00	7.50
1998	193	1.554	1.04	83.68	0.03	63.32	8.00
1998	194	1.556	1.05	84.18	-0.02	49.63	8.50
1998	195	1.557	1.06	84.68	-0.07	35.94	9.00
1998	196	1.558	1.08	85.18	-0.12	22.25	9.50
1998	197	1.559	1.09	85.68	-0.17	8.55	9.99
1998	198	1.561	1.10	86.18	-0.21	354.86	10.49
1998	199	1.562	1.11	86.68	-0.26	341.17	10.98
1998	200	1.563	1.13	87.17	-0.31	327.47	11.47
1998	201	1.564	1.14	87.67	-0.36	313.78	11.97
1998	202	1.565	1.15	88.16	-0.41	300.08	12.46
1998	203	1.567	1.16	88.66	-0.46	286.39	12.95
1998	204	1.568	1.18	89.15	-0.51	272.69	13.44
1998	205	1.569	1.19	89.64	-0.55	258.99	13.93
1998	206	1.570	1.20	90.13	-0.60	245.30	14.42
1998	207	1.571	1.21	90.62	-0.65	231.60	14.91
