RelativeTo	RelativePos	X	Y	Z	RelativeVel	ApoapsisHeight	PeriapsisHeight	CurrentDistance	StartTheta	StartPhi	currentTheta	currentPhi	maxDistanceAngleTheta	maxDistanceAnglePhi	minDistanceAngleTheta	minDistanceAnglePhi	period	spin	lastPos	lastPhi	periodSum
neptune	(22.05088000, -0.93570790, 4.91756500)	22.05088	-0.9357079	4.917565	(0.0, 0.0, -0.1)	22.61191	22.55261	22.61191	-0.03740481	0.3823733	-0.04139229	0.2194522	-0.04139229	0.2194522	0.3823733	0	0.02	0	0	0.2194522	0
neptune	(22.05180000, -0.93579140, 4.91396900)	22.0518	-0.9357914	4.913969	(0.0, 0.0, -0.1)	22.61202	22.55261	22.61202	-0.03740481	0.3823733	-0.04139577	0.2192881	-0.04139577	0.2192881	0.3823733	0	0.02	0	0	0.2192881	0
neptune	(22.05291000, -0.93589160, 4.90965300)	22.05291	-0.9358916	4.909653	(0.0, 0.0, -0.1)	22.61217	22.55261	22.61217	-0.03740481	0.3823733	-0.04139993	0.219091	-0.04139993	0.219091	0.3823733	0	0.02	0	0	0.219091	0
neptune	(22.05382000, -0.93597500, 4.90605600)	22.05382	-0.935975	4.906056	(0.0, 0.0, -0.1)	22.61229	22.55261	22.61229	-0.03740481	0.3823733	-0.04140342	0.2189268	-0.04140342	0.2189268	0.3823733	0	0.02	0	0	0.2189268	0
neptune	(22.05492000, -0.93607520, 4.90174100)	22.05492	-0.9360752	4.901741	(0.0, 0.0, -0.1)	22.61243	22.55261	22.61243	-0.03740481	0.3823733	-0.04140759	0.2187297	-0.04140759	0.2187297	0.3823733	0	0.02	0	0	0.2187297	0
neptune	(22.05584000, -0.93615870, 4.89814400)	22.05584	-0.9361587	4.898144	(0.0, 0.0, -0.1)	22.61255	22.55261	22.61255	-0.03740481	0.3823733	-0.04141107	0.2185655	-0.04141107	0.2185655	0.3823733	0	0.02	0	0	0.2185655	0
neptune	(22.05694000, -0.93625870, 4.89382800)	22.05694	-0.9362587	4.893828	(0.0, 0.0, -0.1)	22.61269	22.55261	22.61269	-0.03740481	0.3823733	-0.04141523	0.2183684	-0.04141523	0.2183684	0.3823733	0	0.02	0	0	0.2183684	0
neptune	(22.05786000, -0.93634200, 4.89023100)	22.05786	-0.936342	4.890231	(0.0, 0.0, -0.1)	22.61281	22.55261	22.61281	-0.03740481	0.3823733	-0.04141871	0.2182042	-0.04141871	0.2182042	0.3823733	0	0.02	0	0	0.2182042	0
neptune	(22.05896000, -0.93644210, 4.88591400)	22.05896	-0.9364421	4.885914	(0.0, 0.0, -0.1)	22.61295	22.55261	22.61295	-0.03740481	0.3823733	-0.04142287	0.2180072	-0.04142287	0.2180072	0.3823733	0	0.02	0	0	0.2180072	0
neptune	(22.05987000, -0.93652550, 4.88231700)	22.05987	-0.9365255	4.882317	(0.0, 0.0, -0.1)	22.61307	22.55261	22.61307	-0.03740481	0.3823733	-0.04142634	0.217843	-0.04142634	0.217843	0.3823733	0	0.02	0	0	0.217843	0
